# Chunk-averaged data for fix avDen and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 2286 8360352
  225 -45.9214 1.46953 0.0809977
  226 -45.8714 1.54146 0.0849623
  227 -45.8214 1.50849 0.0831452
  228 -45.7714 1.51848 0.0836958
  229 -45.7214 1.4995 0.0826496
  230 -45.6714 1.55345 0.085623
  231 -45.6214 1.54545 0.0851825
  232 -45.5714 1.62637 0.0896426
  233 -45.5214 1.54945 0.0854028
  234 -45.4714 1.6024 0.0883211
  235 -45.4214 1.5974 0.0880458
  236 -45.3714 1.57143 0.0866141
  237 -45.3214 1.55445 0.0856781
  238 -45.2714 1.56144 0.0860635
  239 -45.2214 1.54146 0.0849623
  240 -45.1714 1.61139 0.0888167
  241 -45.1214 1.58541 0.087385
  242 -45.0714 1.61139 0.0888167
  243 -45.0214 1.54645 0.0852376
  244 -44.9714 1.59141 0.0877154
  245 -44.9214 1.5964 0.0879907
  246 -44.8714 1.60839 0.0886515
  247 -44.8214 1.56543 0.0862838
  248 -44.7714 1.61538 0.0890369
  249 -44.7214 1.52947 0.0843015
  250 -44.6714 1.62737 0.0896977
  251 -44.6214 1.55944 0.0859534
  252 -44.5714 1.56943 0.086504
  253 -44.5214 1.56643 0.0863388
  254 -44.4714 1.5015 0.0827597
  255 -44.4214 1.55245 0.0855679
  256 -44.3714 1.54545 0.0851825
  257 -44.3214 1.57443 0.0867793
  258 -44.2714 1.54346 0.0850724
  259 -44.2214 1.55944 0.0859534
  260 -44.1714 1.52547 0.0840812
  261 -44.1214 1.54346 0.0850724
  262 -44.0714 1.51948 0.0837509
  263 -44.0214 1.54745 0.0852926
  264 -43.9714 1.52547 0.0840812
  265 -43.9214 1.45355 0.0801167
  266 -43.8714 1.53447 0.0845768
  267 -43.8214 1.54446 0.0851274
  268 -43.7714 1.61638 0.089092
  269 -43.7214 1.61139 0.0888167
  270 -43.6714 1.56244 0.0861186
  271 -43.6214 1.57243 0.0866692
  272 -43.5714 1.59341 0.0878255
  273 -43.5214 1.52248 0.0839161
  274 -43.4714 1.51548 0.0835306
  275 -43.4214 1.54945 0.0854028
  276 -43.3714 1.61339 0.0889268
  277 -43.3214 1.56244 0.0861186
  278 -43.2714 1.51848 0.0836958
