# Chunk-averaged data for fix avDen and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 2286 8360352
  208 -46.7714 1.44555 0.0796762
  209 -46.7214 1.49451 0.0823743
  210 -46.6714 1.51948 0.0837509
  211 -46.6214 1.57143 0.0866141
  212 -46.5714 1.52847 0.0842464
  213 -46.5214 1.57243 0.0866692
  214 -46.4714 1.51848 0.0836958
  215 -46.4214 1.56244 0.0861186
  216 -46.3714 1.4965 0.0824844
  217 -46.3214 1.51948 0.0837509
  218 -46.2714 1.50549 0.08298
  219 -46.2214 1.57043 0.0865591
  220 -46.1714 1.5035 0.0828699
  221 -46.1214 1.56543 0.0862838
  222 -46.0714 1.5045 0.0829249
  223 -46.0214 1.51748 0.0836407
  224 -45.9714 1.5984 0.0881008
  225 -45.9214 1.46853 0.0809427
  226 -45.8714 1.51548 0.0835306
  227 -45.8214 1.5015 0.0827597
  228 -45.7714 1.56344 0.0861736
  229 -45.7214 1.52048 0.0838059
  230 -45.6714 1.4975 0.0825395
  231 -45.6214 1.47652 0.0813832
  232 -45.5714 1.56743 0.0863939
  233 -45.5214 1.48551 0.0818787
  234 -45.4714 1.57143 0.0866141
  235 -45.4214 1.50649 0.083035
  236 -45.3714 1.52547 0.0840812
  237 -45.3214 1.51848 0.0836958
  238 -45.2714 1.53047 0.0843566
  239 -45.2214 1.4965 0.0824844
  240 -45.1714 1.55644 0.0857882
  241 -45.1214 1.56444 0.0862287
  242 -45.0714 1.58641 0.0874401
  243 -45.0214 1.52647 0.0841363
  244 -44.9714 1.56444 0.0862287
  245 -44.9214 1.49151 0.0822091
  246 -44.8714 1.54146 0.0849623
  247 -44.8214 1.4985 0.0825945
  248 -44.7714 1.46054 0.0805021
  249 -44.7214 1.6004 0.088211
  250 -44.6714 1.49251 0.0822642
  251 -44.6214 1.51948 0.0837509
  252 -44.5714 1.5005 0.0827047
  253 -44.5214 1.51948 0.0837509
  254 -44.4714 1.55644 0.0857882
  255 -44.4214 1.54845 0.0853477
  256 -44.3714 1.56943 0.086504
  257 -44.3214 1.60739 0.0885964
  258 -44.2714 1.56643 0.0863388
  259 -44.2214 1.57443 0.0867793
  260 -44.1714 1.56244 0.0861186
  261 -44.1214 1.58442 0.08733
  262 -44.0714 1.51349 0.0834205
  263 -44.0214 1.63536 0.0901382
  264 -43.9714 1.62338 0.0894774
  265 -43.9214 1.58442 0.08733
  266 -43.8714 1.59441 0.0878806
  267 -43.8214 1.53447 0.0845768
  268 -43.7714 1.64635 0.0907439
  269 -43.7214 1.61139 0.0888167
  270 -43.6714 1.58442 0.08733
  271 -43.6214 1.61239 0.0888717
  272 -43.5714 1.55445 0.0856781
  273 -43.5214 1.6044 0.0884312
  274 -43.4714 1.61239 0.0888717
  275 -43.4214 1.53946 0.0848521
  276 -43.3714 1.51748 0.0836407
  277 -43.3214 1.57642 0.0868895
  278 -43.2714 1.48851 0.0820439
  279 -43.2214 1.4955 0.0824294
  280 -43.1714 1.58741 0.0874952
  281 -43.1214 1.60939 0.0887065
  282 -43.0714 1.60539 0.0884863
  283 -43.0214 1.62737 0.0896977
  284 -42.9714 1.58541 0.087385
  285 -42.9214 1.70829 0.0941578
  286 -42.8714 1.66234 0.0916249
  287 -42.8214 1.66034 0.0915148
  288 -42.7714 1.66533 0.0917901
  289 -42.7214 1.58442 0.08733
  290 -42.6714 1.68432 0.0928363
  291 -42.6214 1.64935 0.0909091
  292 -42.5714 1.56843 0.086449
  293 -42.5214 1.6004 0.088211
  294 -42.4714 1.55644 0.0857882
  295 -42.4214 1.64336 0.0905787
  296 -42.3714 1.61039 0.0887616
  297 -42.3214 1.64336 0.0905787
  298 -42.2714 1.5964 0.0879907
  299 -42.2214 1.61738 0.089147
  300 -42.1714 1.67233 0.0921755
  301 -42.1214 1.6983 0.0936071
  302 -42.0714 1.63137 0.0899179
  303 -42.0214 1.58342 0.0872749
  304 -41.9714 1.72128 0.0948736
  305 -41.9214 1.69131 0.0932217
  306 -41.8714 1.56643 0.0863388
  307 -41.8214 1.63437 0.0900831
  308 -41.7714 1.57542 0.0868344
  309 -41.7214 1.67433 0.0922856
  310 -41.6714 1.56643 0.0863388
  311 -41.6214 1.60939 0.0887065
  312 -41.5714 1.67932 0.092561
  313 -41.5214 1.64036 0.0904135
  314 -41.4714 1.64136 0.0904686
  315 -41.4214 1.65235 0.0910743
  316 -41.3714 1.55445 0.0856781
  317 -41.3214 1.68531 0.0928913
  318 -41.2714 1.67333 0.0922306
  319 -41.2214 1.62937 0.0898078
  320 -41.1714 1.62138 0.0893673
  321 -41.1214 1.67832 0.0925059
  322 -41.0714 1.59041 0.0876603
  323 -41.0214 1.64436 0.0906337
  324 -40.9714 1.63736 0.0902483
  325 -40.9214 1.66833 0.0919553
  326 -40.8714 1.72527 0.0950939
  327 -40.8214 1.68631 0.0929464
  328 -40.7714 1.58142 0.0871648
  329 -40.7214 1.63636 0.0901932
  330 -40.6714 1.62438 0.0895325
  331 -40.6214 1.65035 0.0909641
  332 -40.5714 1.67732 0.0924508
  333 -40.5214 1.5974 0.0880458
  334 -40.4714 1.69431 0.0933869
  335 -40.4214 1.63636 0.0901932
  336 -40.3714 1.63836 0.0903034
  337 -40.3214 1.55345 0.085623
  338 -40.2714 1.61239 0.0888717
  339 -40.2214 1.64336 0.0905787
  340 -40.1714 1.65734 0.0913496
  341 -40.1214 1.62637 0.0896426
  342 -40.0714 1.66933 0.0920103
  343 -40.0214 1.63936 0.0903584
  344 -39.9714 1.68631 0.0929464
  345 -39.9214 1.61838 0.0892021
  346 -39.8714 1.68232 0.0927261
  347 -39.8214 1.71229 0.094378
  348 -39.7714 1.7033 0.0938825
  349 -39.7214 1.64835 0.090854
  350 -39.6714 1.66933 0.0920103
  351 -39.6214 1.78022 0.0981223
  352 -39.5714 1.62238 0.0894224
  353 -39.5214 1.74426 0.09614
  354 -39.4714 1.77522 0.097847
  355 -39.4214 1.73227 0.0954793
  356 -39.3714 1.80619 0.099554
  357 -39.3214 1.80819 0.0996641
  358 -39.2714 1.71029 0.0942679
  359 -39.2214 1.72228 0.0949287
  360 -39.1714 1.67133 0.0921204
  361 -39.1214 1.72627 0.0951489
  362 -39.0714 1.72527 0.0950939
  363 -39.0214 1.75924 0.096966
  364 -38.9714 1.73526 0.0956445
  365 -38.9214 1.72627 0.0951489
  366 -38.8714 1.75125 0.0965255
  367 -38.8214 1.63137 0.0899179
  368 -38.7714 1.71329 0.0944331
  369 -38.7214 1.74226 0.0960299
  370 -38.6714 1.73327 0.0955344
  371 -38.6214 1.6983 0.0936071
  372 -38.5714 1.67333 0.0922306
  373 -38.5214 1.75824 0.0969109
  374 -38.4714 1.72428 0.0950388
  375 -38.4214 1.75624 0.0968008
  376 -38.3714 1.71528 0.0945432
  377 -38.3214 1.67333 0.0922306
  378 -38.2714 1.68831 0.0930565
  379 -38.2214 1.59141 0.0877154
  380 -38.1714 1.77323 0.0977369
  381 -38.1214 1.80619 0.099554
  382 -38.0714 1.81019 0.0997742
  383 -38.0214 1.78621 0.0984527
  384 -37.9714 1.76124 0.0970761
  385 -37.9214 1.78022 0.0981223
  386 -37.8714 1.78322 0.0982875
  387 -37.8214 1.78022 0.0981223
  388 -37.7714 1.70529 0.0939926
  389 -37.7214 1.78422 0.0983426
  390 -37.6714 1.77323 0.0977369
  391 -37.6214 1.85115 0.102032
  392 -37.5714 1.73127 0.0954242
  393 -37.5214 1.75025 0.0964704
  394 -37.4714 1.83516 0.101151
  395 -37.4214 1.72927 0.0953141
  396 -37.3714 1.70529 0.0939926
  397 -37.3214 1.7033 0.0938825
  398 -37.2714 1.7003 0.0937173
  399 -37.2214 1.76124 0.0970761
  400 -37.1714 1.74126 0.0959749
  401 -37.1214 1.64436 0.0906337
  402 -37.0714 1.75325 0.0966356
  403 -37.0214 1.7972 0.0990584
  404 -36.9714 1.81419 0.0999945
  405 -36.9214 1.7043 0.0939375
  406 -36.8714 1.82218 0.100435
  407 -36.8214 1.81419 0.0999945
  408 -36.7714 1.76424 0.0972413
  409 -36.7214 1.86314 0.102693
  410 -36.6714 1.78721 0.0985078
  411 -36.6214 1.77123 0.0976268
  412 -36.5714 1.80619 0.099554
  413 -36.5214 1.85714 0.102362
  414 -36.4714 1.75924 0.096966
  415 -36.4214 1.84715 0.101812
  416 -36.3714 1.8032 0.0993888
  417 -36.3214 1.80819 0.0996641
  418 -36.2714 1.85215 0.102087
  419 -36.2214 1.87512 0.103353
  420 -36.1714 1.86114 0.102582
  421 -36.1214 1.85115 0.102032
  422 -36.0714 1.87013 0.103078
  423 -36.0214 1.81618 0.100105
  424 -35.9714 1.91309 0.105446
  425 -35.9214 1.86813 0.102968
  426 -35.8714 1.81918 0.10027
  427 -35.8214 1.85415 0.102197
  428 -35.7714 1.87512 0.103353
  429 -35.7214 1.82018 0.100325
  430 -35.6714 1.84016 0.101426
  431 -35.6214 1.77423 0.0977919
  432 -35.5714 1.86513 0.102803
  433 -35.5214 1.81119 0.0998293
  434 -35.4714 1.85015 0.101977
  435 -35.4214 1.8012 0.0992786
  436 -35.3714 1.79321 0.0988381
  437 -35.3214 1.84715 0.101812
  438 -35.2714 1.77123 0.0976268
  439 -35.2214 1.83017 0.100875
  440 -35.1714 1.85015 0.101977
  441 -35.1214 1.82717 0.10071
  442 -35.0714 1.80619 0.099554
  443 -35.0214 1.85714 0.102362
  444 -34.9714 1.85514 0.102252
  445 -34.9214 1.87313 0.103243
  446 -34.8714 1.7972 0.0990584
  447 -34.8214 1.89011 0.104179
  448 -34.7714 1.82817 0.100765
  449 -34.7214 1.84116 0.101481
  450 -34.6714 1.82218 0.100435
  451 -34.6214 1.84715 0.101812
  452 -34.5714 1.90809 0.10517
  453 -34.5214 1.86813 0.102968
  454 -34.4714 1.86414 0.102748
  455 -34.4214 1.89311 0.104344
  456 -34.3714 1.91409 0.105501
  457 -34.3214 1.85115 0.102032
  458 -34.2714 1.83417 0.101096
  459 -34.2214 1.95704 0.107868
  460 -34.1714 1.94006 0.106932
  461 -34.1214 1.92707 0.106217
  462 -34.0714 1.93506 0.106657
  463 -34.0214 1.98002 0.109135
  464 -33.9714 1.95305 0.107648
  465 -33.9214 1.97702 0.10897
  466 -33.8714 1.93706 0.106767
  467 -33.8214 1.90709 0.105115
  468 -33.7714 1.99301 0.109851
  469 -33.7214 1.996 0.110016
  470 -33.6714 1.98202 0.109245
  471 -33.6214 1.94306 0.107098
  472 -33.5714 2.02897 0.111833
  473 -33.5214 1.92607 0.106162
  474 -33.4714 1.90509 0.105005
  475 -33.4214 1.88412 0.103849
  476 -33.3714 1.91908 0.105776
  477 -33.3214 1.90809 0.10517
  478 -33.2714 1.88911 0.104124
  479 -33.2214 1.94505 0.107208
  480 -33.1714 1.97702 0.10897
  481 -33.1214 1.91109 0.105336
  482 -33.0714 1.92408 0.106051
  483 -33.0214 1.85115 0.102032
  484 -32.9714 1.99401 0.109906
  485 -32.9214 1.92607 0.106162
  486 -32.8714 1.999 0.110181
  487 -32.8214 2.03297 0.112053
  488 -32.7714 2.01798 0.111227
  489 -32.7214 1.95205 0.107593
  490 -32.6714 1.96903 0.108529
  491 -32.6214 1.93806 0.106822
  492 -32.5714 1.997 0.110071
  493 -32.5214 2.01299 0.110952
  494 -32.4714 1.996 0.110016
  495 -32.4214 1.998 0.110126
  496 -32.3714 2.03696 0.112274
  497 -32.3214 2.01199 0.110897
  498 -32.2714 2.005 0.110511
  499 -32.2214 1.97702 0.10897
  500 -32.1714 2.004 0.110456
  501 -32.1214 1.96803 0.108474
  502 -32.0714 1.95904 0.107979
  503 -32.0214 1.95105 0.107538
  504 -31.9714 1.92607 0.106162
  505 -31.9214 2.02797 0.111778
  506 -31.8714 2.04695 0.112824
  507 -31.8214 1.96703 0.108419
  508 -31.7714 2.00999 0.110787
  509 -31.7214 2.03397 0.112108
  510 -31.6714 2 0.110236
  511 -31.6214 2.03896 0.112384
  512 -31.5714 2.11389 0.116513
  513 -31.5214 1.94905 0.107428
  514 -31.4714 2.00899 0.110732
  515 -31.4214 2.02797 0.111778
  516 -31.3714 2.04595 0.112769
  517 -31.3214 2.03896 0.112384
  518 -31.2714 1.99001 0.109686
  519 -31.2214 1.99201 0.109796
  520 -31.1714 2.05395 0.11321
  521 -31.1214 1.98901 0.10963
